IFSC,Bank,Branch,Address,District,State,Contact,Timestamp
SBIN0000001,State Bank of India,KOLKATA MAIN,"SAMRIDDHI BHAWAN, 1 STRAND ROAD, KOLKATA 700 001",KOLKATA,WEST BENGAL,,2026-02-09 08:18:03
ICIC0000456,ICICI Bank,DAMAN,,,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,,2026-02-09T08:36:49.446288
SBIN0000002,State Bank of India,AGARTALA,,,TRIPURA,,2026-02-09T08:50:47.056452
SBIN0000003,State Bank of India,AKABARPUR,,,UTTAR PRADESH,,2026-02-09T09:02:27.278852
